t   links   init                                
c   fr  to  len mode    type    lanes   vdfunc  ul1 ul2 ul3
a   101182  101187  0.07    a   343 1   52  290 870 343
a   101183  101184  0.08    a   343 1   52  291 870 343
a   101184  101185  0.07    a   343 2   52  292 1740    343
a   101184  101186  0.13    a   343 1   52  293 870 343
a   101185  101095  0.12    a   343 1   52  294 870 343
a   101185  101163  0.24    a   343 1   50  295 1150    343
a   101185  101184  0.07    a   343 2   52  296 1740    343
a   101186  101093  0.2 a   343 2   52  297 1740    343
a   101186  101184  0.13    a   343 1   52  298 870 343
a   101186  101192  0.23    a   343 1   52  299 870 343
a   101187  101176  0.21    a   343 2   52  300 1740    343
a   101187  101188  0.15    a   343 1   52  301 870 343
a   101188  101187  0.15    a   343 1   52  302 870 343
a   101188  101192  0.26    a   343 1   52  303 870 343
a   101188  101402  0.27    a   443 1   52  304 870 443
a   101192  101186  0.23    a   343 2   52  305 1740    343
a   101192  101188  0.26    a   343 1   52  306 870 343
a   101192  101199  0.1 a   343 2   51  307 2000    343
a   101199  101192  0.1 a   343 2   51  308 2000    343
a   101199  101406  0.12    a   343 2   51  309 2000    343
a   101202  101203  0.42    a   343 1   52  310 870 343
a   101202  101207  0.23    a   343 3   51  311 3000    343
a   101202  101214  0.17    a   343 3   52  312 2610    343
a   101202  101215  0.14    a   343 2   52  313 1740    343
a   101203  101202  0.42    a   343 1   52  314 870 343
a   101203  101204  0.32    a   343 1   52  315 870 343
a   101203  101246  0.14    a   443 1   52  316 870 443
a   101203  101252  0.13    a   343 2   52  317 1740    343
a   101204  100200  0.17    a   900 1   12  318 2000    900
a   101204  101203  0.32    a   343 1   52  319 870 343
a   101204  101205  0.14    a   343 1   52  320 870 343
a   101204  101268  0.12    a   443 1   52  321 870 443
a   101205  101204  0.14    a   343 1   52  322 870 343
a   101205  101206  0.1 a   343 1   52  323 870 343
a   101206  101132  0.15    a   343 2   51  324 2000    343
a   101206  101133  0.22    a   343 1   52  325 870 343
a   101206  101205  0.1 a   343 1   52  326 870 343
a   101206  101266  0.12    a   443 1   52  327 870 443
a   101207  101135  0.76    a   343 2   51  328 2000    343
a   101207  101202  0.23    a   343 3   51  329 3000    343
a   101207  500009  0.26    a   900 5   12  330 10000   900
a   101212  101213  0.11    a   343 2   52  331 1740    343
a   101212  101214  0.15    a   343 2   51  332 2000    343
a   101212  101223  0.42    a   343 2   51  333 2000    343
a   101212  500011  0.28    a   900 5   12  334 10000   900
a   101213  101212  0.11    a   343 2   52  335 1740    343
a   101213  101214  0.16    a   343 2   52  336 1740    343
a   101213  101224  0.28    a   343 2   52  337 1740    343
a   101213  101246  0.33    a   343 2   52  338 1740    343
a   101214  101212  0.15    a   343 2   52  339 1740    343
a   101214  101213  0.16    a   343 2   52  340 1740    343
a   101214  101215  0.2 a   343 4   52  341 3480    343
a   101215  101202  0.14    a   343 4   52  342 3480    343
a   101215  101632  0.63    a   343 2   52  343 1740    343
a   101216  101136  1.07    a   143 1   70  344 2000    143
a   101216  101217  0.43    a   143 1   71  345 1550    143
a   101217  101216  0.43    a   143 1   71  346 1550    143
a   101217  184202  1.24    a   242 1   70  347 2000    242
a   101217  300046  0.27    a   143 1   70  348 2000    143
a   101223  101212  0.42    a   343 2   51  349 2000    343
a   101223  101225  0.51    a   343 1   50  350 1150    343
a   101223  300414  0.13    a   242 2   51  351 2000    242
a   101224  101213  0.28    a   343 2   52  352 1740    343
a   101224  101225  0.4 a   343 2   52  353 1740    343
a   101224  101242  0.14    a   443 1   52  354 870 443
a   101225  101223  0.51    a   343 1   50  355 1150    343
a   101225  101224  0.4 a   343 2   52  356 1740    343
a   101225  101232  0.26    a   343 3   51  357 3000    343
a   101227  101232  0.15    a   113 3   51  358 3000    113
a   101227  300042  0.45    a   112 1   70  359 2000    112
a   101227  300050  0.04    a   100 2   70  360 4000    100
a   101228  184212  0.52    a   242 2   51  361 2000    242
a   101228  300044  0.11    a   100 2   70  362 4000    100
a   101228  300414  0.05    a   242 2   51  363 2000    242
a   101232  101225  0.26    a   343 3   51  364 3000    343
a   101232  101227  0.15    a   113 3   51  365 3000    113
a   101232  101233  0.33    a   113 3   51  366 3000    113
a   101233  101232  0.33    a   113 3   51  367 3000    113
a   101233  101234  0.04    a   343 2   52  368 1740    343
a   101233  101302  0.38    a   113 2   51  369 2000    113
a   101234  101233  0.04    a   343 2   52  370 1740    343
a   101234  101235  0.29    a   443 1   52  371 870 443
a   101234  101236  0.2 a   343 2   52  372 1740    343
a   101235  101234  0.29    a   443 1   52  373 870 443
a   101235  101237  0.19    a   443 1   52  374 870 443
a   101236  101234  0.2 a   343 2   52  375 1740    343
a   101236  101237  0.29    a   443 1   52  376 870 443
a   101236  101292  0.2 a   343 2   52  377 1740    343
a   101237  101235  0.19    a   443 1   52  378 870 443
a   101237  101236  0.29    a   443 1   52  379 870 443
a   101237  101238  0.14    a   443 1   52  380 870 443
a   101237  101249  0.43    a   443 1   52  381 870 443
a   101238  101237  0.14    a   443 1   52  382 870 443
a   101238  101239  0.09    a   443 1   52  383 870 443
a   101238  500012  0.2 a   900 5   12  384 10000   900
a   101239  101238  0.09    a   443 1   52  385 870 443
a   101239  101242  0.11    a   443 1   52  386 870 443
a   101242  101224  0.14    a   443 1   52  387 870 443
a   101242  101239  0.11    a   443 1   52  388 870 443
a   101242  101243  0.2 a   443 1   52  389 870 443
a   101243  101242  0.2 a   443 1   52  390 870 443
a   101243  101246  0.15    a   443 1   52  391 870 443
a   101246  101203  0.14    a   443 1   52  392 870 443
a   101246  101213  0.33    a   343 2   52  393 1740    343
a   101246  101243  0.15    a   443 1   52  394 870 443
a   101246  101247  0.12    a   343 1   52  395 870 343
a   101247  101246  0.12    a   343 3   52  396 2610    343
a   101247  101252  0.1 a   443 2   52  397 1740    443
a   101248  101247  0.12    a   343 2   52  398 1740    343
a   101249  101254  0.07    a   443 1   52  399 870 443
a   101249  101294  0.26    a   443 1   52  400 870 443
a   101252  101203  0.13    a   343 1   52  401 870 343
a   101252  101253  0.1 a   343 2   52  402 1740    343
a   101252  101268  0.31    a   443 2   52  403 1740    443
a   101253  101254  0.15    a   343 2   52  404 1740    343
a   101253  101255  0.3 a   443 1   52  405 870 443
a   101254  101248  0.15    a   343 2   52  406 1740    343
a   101254  101293  0.25    a   343 1   52  407 870 343
a   101255  101253  0.3 a   443 1   52  408 870 443
a   101255  101263  0.15    a   443 1   52  409 870 443
a   101255  101268  0.1 a   443 1   52  410 870 443
a   101262  101205  0.11    a   443 2   52  411 1740    443
a   101262  101266  0.12    a   443 1   52  412 870 443
a   101263  101255  0.15    a   443 1   52  413 870 443
a   101263  101262  0.11    a   443 2   52  414 1740    443
a   101263  101269  0.06    a   443 1   52  415 870 443
a   101263  500013  0.26    a   900 5   12  416 10000   900
a   101265  101267  0.04    a   443 1   52  417 870 443
a   101266  101133  0.18    a   443 1   52  418 870 443
a   101266  101267  0.09    a   443 1   52  419 870 443
a   101267  101266  0.09    a   443 1   52  420 870 443
a   101267  101269  0.04    a   443 1   52  421 870 443
a   101268  101204  0.12    a   443 1   52  422 870 443
a   101268  101255  0.1 a   443 1   52  423 870 443
